rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2JTir3y1VuJQmexiTCMcTP	Os Barões Da Pisadinha	Recairei - Ao Vivo	Sony Music Entertainment	1	1	23	5028307	2JTir3y1VuJQmexiTCMcTP
2	spotify:track:15k1TDabqSEmyXOwMq9RM7	Jonas Esticado	Investe Em Mim	Som Livre	1	2	17	4872773	15k1TDabqSEmyXOwMq9RM7
3	spotify:track:4xWzZmX4K1yyrdtRfbUvjt	Niack	Oh Juliana	Niack	1	3	15	3782742	4xWzZmX4K1yyrdtRfbUvjt
4	spotify:track:59kRq8rb5uJCrSYYbGCk7o	MC Rogerinho	Só Você	MC Rogerinho	4	4	10	3651117	59kRq8rb5uJCrSYYbGCk7o
5	spotify:track:42P3wMiPfXQM93TYZotuPQ	Gusttavo Lima	De Menina pra Mulher - Ao Vivo	Sony Music Entertainment	5	5	5	3530793	42P3wMiPfXQM93TYZotuPQ
6	spotify:track:64I6t2tuUGnIlaDIzHJ6YI	Marília Mendonça, Maiara & Maraisa	Quero Você do Jeito Que Quiser	Som Livre	4	6	15	3262759	64I6t2tuUGnIlaDIzHJ6YI
7	spotify:track:187Pge0WmJNoS73kaIORSE	Douglas & Vinicius, MC Bruninho	Figurinha - Ao Vivo	Virgin Music Label And Artist Services (S&D)	7	12	14	3241317	187Pge0WmJNoS73kaIORSE
8	spotify:track:3rRin3LyLY92kpEbkCgwf4	Os Barões Da Pisadinha, Xand Avião	Basta Você Me Ligar - Ao Vivo	Sony Music Entertainment	8	10	18	3099744	3rRin3LyLY92kpEbkCgwf4
9	spotify:track:4zsiMjB0794HztyqUkD3Zi	Dilsinho, Henrique & Juliano	Sogra - Ao Vivo	Sony Music Entertainment	6	9	20	2983288	4zsiMjB0794HztyqUkD3Zi
10	spotify:track:3dPvQLKl42dMYWV4LWRTLK	Os Barões Da Pisadinha	Tá Rocheda	Sony Music Entertainment	7	7	38	2966163	3dPvQLKl42dMYWV4LWRTLK
11	spotify:track:7e1VoRlNumuEkXlITMHKLE	Anitta, Myke Towers, Cardi B	Me Gusta (with Cardi B & Myke Towers)	Warner Records	3	8	5	2922051	7e1VoRlNumuEkXlITMHKLE
12	spotify:track:7J3QMuDCSv56jRSiD9jFBF	Eric Land, Xand Avião	Cidade Inteira	Eric Land	12	20	15	2845076	7J3QMuDCSv56jRSiD9jFBF
13	spotify:track:12v6LfkX9YIR3uLefIAAYZ	Mc Jacaré	Comprei um Lança	Mc Jacare / Los Pantchos	5	11	17	2820431	12v6LfkX9YIR3uLefIAAYZ
14	spotify:track:7benotyTvLY2vUsDKtxbiA	Gusttavo Lima	Café e Amor - Ao Vivo	Sony Music Entertainment	13	13	2	2770354	7benotyTvLY2vUsDKtxbiA
15	spotify:track:3WjSkl7VDWY1prwJw7dSG0	Zé Neto & Cristiano	Barzinho Aleatório - Ao Vivo	Som Livre	8	14	46	2721666	3WjSkl7VDWY1prwJw7dSG0
16	spotify:track:260n4ECk9j4IEvTAVBYojl	Matheus & Kauan	Nem Doeu - Ao Vivo	Universal Music Ltda.	16	16	21	2662962	260n4ECk9j4IEvTAVBYojl
17	spotify:track:7o9LwQmTuIDm4LyyHFIWul	Henrique & Juliano	Volta Por Baixo - Ao Vivo	Virgin Music Label And Artist Services (S&D)	3	15	41	2581891	7o9LwQmTuIDm4LyyHFIWul
18	spotify:track:0RaIjuKU5hudMteEXwr4RS	Jorge & Mateus	Ranking	Som Livre	4	18	33	2528870	0RaIjuKU5hudMteEXwr4RS
19	spotify:track:5GAdMAL3tRJkVN1HtwohK2	Mc Don Juan, Maiara & Maraisa	Vai Ter Que Aguentar	GR6 Music	8	17	21	2526392	5GAdMAL3tRJkVN1HtwohK2
20	spotify:track:2fmeSswdyVq4wcqhY41UHk	Pineapple StormTv, L7NNON, Chris MC, Xamã, Lourena, Cesar Mc, Djonga, Filipe Ret, Salve Malak, Hunter	Poesia Acústica #9: Melhor Forma	Pineapple StormTV	3	23	15	2393320	2fmeSswdyVq4wcqhY41UHk
21	spotify:track:2QCwoYDn4DRfjs4NhW2KpO	João Bosco e Gabriel, Humberto & Ronaldo	Alô Ex-Amor - Ao Vivo	João Bosco e Gabriel	21	44	8	2281148	2QCwoYDn4DRfjs4NhW2KpO
22	spotify:track:5oI9blwsXC8AkTWw6wASY8	Matuê	Máquina do Tempo	Sony Music Entertainment	2	21	6	2230974	5oI9blwsXC8AkTWw6wASY8
23	spotify:track:5m5aY6S9ttfIG157xli2Rs	Zé Neto & Cristiano	Alô Ambev (Segue Sua Vida) - Ao Vivo	Som Livre	23	28	8	2227473	5m5aY6S9ttfIG157xli2Rs
24	spotify:track:4zGtfOglDBfVUypabBwIjQ	Mc Zaac, Anitta, Tyga	Desce Pro Play (PA PA PA)	Universal Music Ltda.	1	19	17	2208925	4zGtfOglDBfVUypabBwIjQ
25	spotify:track:08Sd5vVcIH3uKeAiaJdoYj	Lauana Prado	Viva Voz - Ao Vivo Em São Paulo / 2019	Universal Music Ltda.	17	35	33	2189149	08Sd5vVcIH3uKeAiaJdoYj
26	spotify:track:3J5Pu25BODMex4Jpy4l6FL	Luíza & Maurílio, Zé Neto & Cristiano	S de Saudade	Som Livre	7	25	51	2146104	3J5Pu25BODMex4Jpy4l6FL
27	spotify:track:3056x1XkmICnQmji68rrft	Murilo Huff, Henrique & Juliano	Desejando Eu (Ao Vivo)	Artinvox	24	26	22	2139814	3056x1XkmICnQmji68rrft
28	spotify:track:2ptHQBO7TQhEkXOeK9ST59	Grupo Menos É Mais, Di Propósito, Vou Zuar	Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo	Som Livre	24	24	20	2104264	2ptHQBO7TQhEkXOeK9ST59
29	spotify:track:1GWUiFYLYEapxYHnASyOud	Wesley Safadão	Não Valeu	Som Livre	29	39	23	2072991	1GWUiFYLYEapxYHnASyOud
30	spotify:track:4Oun2ylbjFKMPTiaSbbCih	Cardi B, Megan Thee Stallion	WAP (feat. Megan Thee Stallion)	Atlantic/KSR	14	32	11	2058986	4Oun2ylbjFKMPTiaSbbCih
31	spotify:track:28atBekPVlTdnU4M9Z7udd	Dilsinho, Luísa Sonza, Malibu	Não Vai Embora	Malibu Studios	27	31	24	2041711	28atBekPVlTdnU4M9Z7udd
32	spotify:track:4j2bK4fnc2s6GyVmhJsJhk	Henrique & Juliano	Briga Feia - Ao Vivo	Virgin Music Label And Artist Services (S&D)	22	22	45	2040671	4j2bK4fnc2s6GyVmhJsJhk
33	spotify:track:6UelLqGlWMcVH1E5c4H7lY	Harry Styles	Watermelon Sugar	Columbia	27	40	37	1977117	6UelLqGlWMcVH1E5c4H7lY
34	spotify:track:0AGS6ZRgzobrazmCi6pYMe	Niack	Na Raba Toma Tapão	Niack / Ritmo dos Fluxos	1	27	23	1944618	0AGS6ZRgzobrazmCi6pYMe
35	spotify:track:4DngRKOpRPrkbzImUB0zgh	Matheus & Kauan	Litrão - Ao Vivo Em Recife / 2020	Universal Music Ltda.	3	30	38	1913518	4DngRKOpRPrkbzImUB0zgh
36	spotify:track:6jcGoHrqfRW6fI2I6xtwBQ	MC Marks	Deus é por nós	WM Brazil	14	33	19	1911702	6jcGoHrqfRW6fI2I6xtwBQ
