rank	uri	artist_names	track_name	source	peak_rank	previous_rank	weeks_on_chart	streams	ID
1	spotify:track:2x8TNY9KwNvD19gVGs4WOP	MC Kevin o Chris	Ela É do Tipo	ADpar	1	3	4	4434194	2x8TNY9KwNvD19gVGs4WOP
2	spotify:track:5eMmT4Ava5BGThju0AD8vQ	Gusttavo Lima	Cem Mil - Ao Vivo	Som Livre	1	1	24	3322925	5eMmT4Ava5BGThju0AD8vQ
3	spotify:track:6sRLrSetyIwIKhW1eMlUNP	Matheus & Kauan, Marília Mendonça	Vou Ter Que Superar - Ao Vivo	Universal Music Ltda.	3	4	3	3128945	6sRLrSetyIwIKhW1eMlUNP
4	spotify:track:2H8ETIUEoN9YMf56X66bxd	Anitta, LUDMILLA, Snoop Dogg, Papatinho	Onda diferente (feat. Papatinho)	WM Brazil	4	-1	1	3013077	2H8ETIUEoN9YMf56X66bxd
5	spotify:track:1OUPXna2MCgAt3VNmXJBtg	Tropkillaz, J Balvin, Anitta, Mc Zaac	Bola Rebola	Universal Music Ltda.	1	2	7	2776094	1OUPXna2MCgAt3VNmXJBtg
6	spotify:track:3RbXsVQr4jeTxvT35Hssq3	Marília Mendonça	Bebi Liguei - Ao Vivo	Som Livre	2	7	17	2553754	3RbXsVQr4jeTxvT35Hssq3
7	spotify:track:5EKHbW7mXcAR4hCyS3YXjb	Felipe Araújo, Ferrugem	Atrasadinha - Live	Universal Music Ltda.	1	6	29	2513569	5EKHbW7mXcAR4hCyS3YXjb
8	spotify:track:5pRGXCDY0eT6R1QicAn7Uk	João Gustavo e Murilo, Analaga	Lençol Dobrado	WM Brazil	8	17	23	2483923	5pRGXCDY0eT6R1QicAn7Uk
9	spotify:track:7KdcbYcVF8LkQeQcTYOixJ	Luan Santana, MC Kekel	Vingança - Ao Vivo	Som Livre	9	10	30	2384794	7KdcbYcVF8LkQeQcTYOixJ
10	spotify:track:7oEr56KG6odStlQH0nvdyr	Gustavo Mioto	Solteiro Não Trai - Ao Vivo	Gustavo Mioto	8	8	18	2265395	7oEr56KG6odStlQH0nvdyr
11	spotify:track:6YjyT6MEMsMc41NNWk2dYg	Marília Mendonça, Maiara & Maraisa	Bebaça - Ao Vivo	Som Livre	11	11	7	2234533	6YjyT6MEMsMc41NNWk2dYg
12	spotify:track:2lAyctg5FocS67eksHoyIg	Márcia Fellipe, Jerry Smith	Quem Me Dera	Universal Music Ltda.	4	9	25	2205027	2lAyctg5FocS67eksHoyIg
13	spotify:track:7FiIQXpIeLo3ITfGGpb8PB	MC Kevin o Chris, FP do Trem Bala	Vamos pra Gaiola	ADPAR Produções	2	5	13	2188399	7FiIQXpIeLo3ITfGGpb8PB
14	spotify:track:4eB8rsNNm5791m3uvEBNLR	Zé Neto & Cristiano	Estado Decadente - Acústico	Som Livre	10	12	13	2097170	4eB8rsNNm5791m3uvEBNLR
15	spotify:track:6PqUdUGS4h5aGY7YyEGXr8	Alok, Felix Jaehn, The Vamps	All The Lies	Spinnin' Records	14	19	4	2017312	6PqUdUGS4h5aGY7YyEGXr8
16	spotify:track:1xyVMQx51Kab6eLVtE6twx	Lauana Prado, Maiara & Maraisa	Cobaia	Universal Music Ltda.	16	16	35	1956642	1xyVMQx51Kab6eLVtE6twx
17	spotify:track:0IQCOAw9ZAI6WnXIrl481F	Mc Livinho, Rennan da Penha	Hoje Eu Vou Parar Na Gaiola	GR6 Music	5	15	22	1950970	0IQCOAw9ZAI6WnXIrl481F
18	spotify:track:5yH8pYxNckOU1cxfPsMIaz	DENNIS, MC Kevinho	Agora é Tudo Meu	Sony Music Entertainment	3	14	18	1919323	5yH8pYxNckOU1cxfPsMIaz
19	spotify:track:0XEJ7eph2IWFYZc73Jm3n2	Diego & Victor Hugo	Infarto	Sony Music Entertainment	9	21	22	1865655	0XEJ7eph2IWFYZc73Jm3n2
20	spotify:track:2eSnW4d3A4SyEVhVPmBffa	Anitta, Becky G	Banana	WM Brazil	20	-1	1	1847149	2eSnW4d3A4SyEVhVPmBffa
21	spotify:track:2VxeLyX666F8uXCJ0dZF8B	Lady Gaga, Bradley Cooper	Shallow	A Star is Born OST	3	13	28	1846374	2VxeLyX666F8uXCJ0dZF8B
22	spotify:track:2qkNnJvQvhLiZ63X1L3eFz	Zé Neto & Cristiano	Notificação Preferida - Ao Vivo	Som Livre	2	20	43	1840952	2qkNnJvQvhLiZ63X1L3eFz
23	spotify:track:2caDAj0O4uD8OlJ8bap9nz	LUDMILLA, Anitta	Favela chegou - Ao vivo	WM Brazil	12	18	7	1824769	2caDAj0O4uD8OlJ8bap9nz
24	spotify:track:5qm2otRZaeZaqdLVVohUjq	Anitta, Swae Lee	Poquito	WM Brazil	24	-1	1	1808083	5qm2otRZaeZaqdLVVohUjq
25	spotify:track:1qCLx3nX25NuhfPjM5E1qV	Melim	Ouvi Dizer	Universal Music Ltda.	13	23	38	1727452	1qCLx3nX25NuhfPjM5E1qV
26	spotify:track:7G2XZhDNHo7SSDWSVxC0UT	Anitta, MC Kevinho	Terremoto	WM Brazil	1	22	10	1692211	7G2XZhDNHo7SSDWSVxC0UT
27	spotify:track:1U62BQhqoJK5j9SI03aBys	Anitta	Atención	WM Brazil	27	-1	1	1640063	1U62BQhqoJK5j9SI03aBys
28	spotify:track:5MMrkwK6AgNAsgHVdC7daZ	Dilsinho	Péssimo Negócio (Ao Vivo)	Sony Music Entertainment	24	24	23	1586891	5MMrkwK6AgNAsgHVdC7daZ
29	spotify:track:4pUCKHjJ4Ijewc37rRrvHn	BLACKPINK	Kill This Love	YG Entertainment, distributed through Interscope Records	29	-1	1	1578373	4pUCKHjJ4Ijewc37rRrvHn
30	spotify:track:2mJOngYlqgfdLMBSxPcJL3	Jerry Smith, Wesley Safadão	Quem Tem o Dom	Start Music	15	26	11	1544624	2mJOngYlqgfdLMBSxPcJL3
31	spotify:track:3mNmUjoDHYDYj08IaRPtg0	Lucas Lucco, Wesley Safadão	Posto 24h (feat. Wesley Safadão) - Ao Vivo	Sony Music Entertainment	23	29	25	1487589	3mNmUjoDHYDYj08IaRPtg0
32	spotify:track:3NpRkAnxexTh4TklAZNjag	Mc Don Juan, Mc Davi	Bye Bye	GR6 Music	32	42	4	1465286	3NpRkAnxexTh4TklAZNjag
33	spotify:track:7wMAgaPiKzTNxpDWu2BPfk	Gabriel Diniz	Jenifer	Universal Music Ltda.	1	28	23	1459439	7wMAgaPiKzTNxpDWu2BPfk
34	spotify:track:7D5F5BzIon5zhzQrOU2pdN	Marília Mendonça	Ciumeira - Ao Vivo	Som Livre	1	27	33	1458205	7D5F5BzIon5zhzQrOU2pdN
35	spotify:track:7KicgcwT4Pz6wENOTJCNTp	Anitta, Prince Royce	Rosa	WM Brazil	35	-1	1	1428055	7KicgcwT4Pz6wENOTJCNTp
36	spotify:track:0EZuXcsnjEmGuRYdFdcctX	Marília Mendonça	Sem Sal - Ao Vivo	Som Livre	20	31	24	1399767	0EZuXcsnjEmGuRYdFdcctX
